D:\Êý¾Ý\20211118\ZS1E-Z-000020.D Fri Nov 19 01:43:17 2021,
Start of data points,
0.0975,43079
0.10683,42114
0.11618,43760
0.12552,42536
0.13485,43532
0.1442,41612
0.15353,42482
0.16288,41427
0.17222,41453
0.18155,42083
0.1909,41224
0.20023,39997
0.20957,38289
0.21892,43234
0.22825,40277
0.23758,39269
0.24693,38747
0.25627,39093
0.2656,39858
0.27495,38455
0.28428,39091
0.29362,38266
0.30297,39082
0.3123,40800
0.32163,36859
0.33098,38491
0.34032,40037
0.34967,38086
0.359,37792
0.36833,37537
0.37768,39570
0.38702,36921
0.39635,36963
0.4057,37157
0.41503,38491
0.42437,36213
0.43372,35624
0.44305,32709
0.45238,27201
0.46173,24701
0.47107,18003
0.4804,14037
0.48975,14226
0.49908,14214
0.50842,13792
0.51777,12873
0.5271,13241
0.53645,14063
0.54578,11739
0.55512,13116
0.56447,13389
0.5738,13045
0.58313,12989
0.59248,12701
0.60182,11373
0.61115,11602
0.6205,12804
0.62983,12289
0.63917,13276
0.64852,11335
0.65785,11902
0.66718,11500
0.67653,11703
0.68587,11298
0.6952,12559
0.70455,12173
0.71388,11523
0.72323,12027
0.73257,10860
0.7419,11350
0.75125,10779
0.76058,10579
0.76992,10279
0.77927,11408
0.7886,11413
0.79793,10980
0.80728,10788
0.81662,12031
0.82595,12618
0.8353,11551
0.84463,10533
0.85397,10799
0.86332,10688
0.87265,10614
0.882,11261
0.89133,11419
0.90067,11762
0.91002,10556
0.91935,10788
0.92868,10578
0.93803,10145
0.94737,10310
0.9567,11417
0.96605,9669
0.97538,9745
0.98472,9783
0.99407,10246
1.0034,11605
1.01273,10645
1.02208,10365
1.03142,8481
1.04075,10881
1.0501,11532
1.05943,11085
1.06878,10421
1.07812,10322
1.08745,9460
1.0968,9377
1.10613,9781
1.11547,9509
1.12482,10697
1.13415,11083
1.14348,9565
1.15283,8227
1.16217,8548
1.1715,10136
1.18085,10714
1.19018,11000
1.19952,9452
1.20887,10722
1.2182,9033
1.22753,9970
1.23688,10714
1.24622,9604
1.25557,10035
1.2649,9827
1.27423,10127
1.28358,10152
1.29292,9371
1.30225,10881
1.3116,9503
1.32093,9517
1.33027,9739
1.33962,10282
1.34895,10269
1.35828,9695
1.36763,9744
1.37697,9116
1.3863,9841
1.39565,8199
1.40498,9318
1.41432,8837
1.42367,9002
1.433,8570
1.44235,9359
1.45168,9233
1.46102,7828
1.47037,8907
1.4797,9439
1.48903,9410
1.49838,9286
1.50772,8890
1.51705,8851
1.5264,8081
1.53573,8658
1.54507,9342
1.55442,9426
1.56375,8314
1.57308,9775
1.58243,10581
1.59177,9102
1.6011,11504
1.61045,19287
1.61978,28678
1.62913,32382
1.63847,37462
1.6478,45292
1.65715,52448
1.66648,57438
1.67582,56881
1.68517,49790
1.6945,46648
1.70383,37251
1.71318,30046
1.72252,27969
1.73185,28505
1.7412,30799
1.75053,34898
1.75987,37661
1.76922,42904
1.77855,45063
1.78788,45043
1.79723,45430
1.80657,44166
1.81592,46132
1.82525,44459
1.83458,45261
1.84393,42397
1.85327,43374
1.8626,43455
1.87195,51648
1.88128,77234
1.89062,130888
1.89997,195352
1.9093,232514
1.91863,281223
1.92798,458107
1.93732,906040
1.94665,1586667
1.956,2122072
1.96533,2163593
1.97468,1836560
1.98402,1420670
1.99335,1106134
2.0027,914647
2.01203,836133
2.02137,772536
2.03072,666356
2.04005,506261
2.04938,354320
2.05873,267573
2.06807,201693
2.0774,155491
2.08675,131916
2.09608,127474
2.10542,136205
2.11477,118670
2.1241,111459
2.13343,128290
2.14278,191383
2.15212,209530
2.16147,173476
2.1708,143926
2.18013,132805
2.18948,150191
2.19882,178756
2.20815,161909
2.2175,126294
2.22683,119605
2.23617,149135
2.24552,250720
2.25485,1132226
2.26418,2950248
2.27353,3101316
2.28287,2218722
2.2922,1347678
2.30155,883113
2.31088,1849105
2.32022,6182348
2.32957,8839168
2.3389,6184523
2.34825,2897254
2.35758,1241849
2.36692,583608
2.37627,336967
2.3856,242948
2.39493,210176
2.40428,182756
2.41362,165985
2.42295,155038
2.4323,143224
2.44163,134692
2.45097,117290
2.46032,106869
2.46965,121968
2.47898,151382
2.48833,150344
2.49767,125749
2.507,109093
2.51635,98087
2.52568,91010
2.53503,85567
2.54437,86125
2.5537,93451
2.56305,116690
2.57238,187317
2.58172,269538
2.59107,235209
2.6004,184546
2.60973,146531
2.61908,132011
2.62842,150895
2.63775,187020
2.6471,187152
2.65643,185764
2.66577,170177
2.67512,139244
2.68445,107816
2.6938,90001
2.70313,78057
2.71247,82567
2.72182,100558
2.73115,139484
2.74048,187082
2.74983,230353
2.75917,276208
2.7685,305280
2.77785,325855
2.78718,330913
2.79652,347663
2.80587,316765
2.8152,252906
2.82453,210012
2.83388,176747
2.84322,152832
2.85255,130207
2.8619,129875
2.87123,165895
2.88058,212345
2.88992,199320
2.89925,152803
2.9086,121890
2.91793,108163
2.92727,100201
2.93662,95814
2.94595,88298
2.95528,78882
2.96463,78224
2.97397,73631
2.9833,75770
2.99265,75119
3.00198,95748
3.01132,148745
3.02067,194085
3.03,164576
3.03933,147309
3.04868,156918
3.05802,150350
3.06737,131067
3.0767,136665
3.08603,130110
3.09538,115204
3.10472,90646
3.11405,75925
3.1234,69700
3.13273,68762
3.14207,67668
3.15142,71639
3.16075,78141
3.17008,81492
3.17943,82314
3.18877,77602
3.1981,74545
3.20745,77952
3.21678,78843
3.22612,76327
3.23547,71500
3.2448,65467
3.25415,63473
3.26348,65913
3.27282,66322
3.28217,62911
3.2915,65796
3.30083,66530
3.31018,70550
3.31952,73689
3.32885,69880
3.3382,68324
3.34753,69707
3.35687,68171
3.36622,67331
3.37555,65918
3.38488,62537
3.39423,59061
3.40357,58778
3.4129,62508
3.42225,70826
3.43158,74275
3.44093,78151
3.45027,90758
3.4596,98829
3.46895,94004
3.47828,88046
3.48762,77009
3.49697,72591
3.5063,69551
3.51563,65339
3.52498,68911
3.53432,64372
3.54365,65368
3.553,75771
3.56233,154628
3.57167,355353
3.58102,533845
3.59035,480539
3.5997,305632
3.60903,179825
3.61837,135382
3.62772,125403
3.63705,110749
3.64638,100971
3.65573,92098
3.66507,84686
3.6744,87972
3.68375,92100
3.69308,93677
3.70242,83190
3.71177,74579
3.7211,75144
3.73043,85322
3.73978,99117
3.74912,97458
3.75845,84001
3.7678,74838
3.77713,72083
3.78648,80243
3.79582,85132
3.80515,84457
3.8145,103767
3.82383,201384
3.83317,318562
3.84252,315113
3.85185,216007
3.86118,129984
3.87053,95054
3.87987,81845
3.8892,79607
3.89855,76654
3.90788,84404
3.91722,91598
3.92657,93087
3.9359,94398
3.94523,109457
3.95458,139150
3.96392,160327
3.97327,138595
3.9826,107721
3.99193,83499
4.00128,74905
4.01062,69336
4.01995,88794
4.0293,94754
4.03863,98471
4.04797,112809
4.05732,143718
4.06665,145694
4.07598,140815
4.08533,139960
4.09467,152677
4.104,151006
4.11335,131649
4.12268,108233
4.13202,90326
4.14137,79895
4.1507,76487
4.16005,79509
4.16938,76367
4.17872,71891
4.18807,67883
4.1974,66571
4.20673,69309
4.21608,71658
4.22542,70582
4.23475,70785
4.2441,68807
4.25343,68275
4.26277,66174
4.27212,82835
4.28145,104160
4.29078,103738
4.30013,98953
4.30947,90129
4.31882,81744
4.32815,82247
4.33748,86174
4.34683,86699
4.35617,79726
4.3655,72381
4.37485,66455
4.38418,63724
4.39352,70829
4.40287,66783
4.4122,66699
4.42153,62368
4.43088,59560
4.44022,59714
4.44955,58619
4.4589,57158
4.46823,61763
4.47757,70951
4.48692,80277
4.49625,90062
4.5056,87149
4.51493,76822
4.52427,70259
4.53362,67604
4.54295,72221
4.55228,74523
4.56163,72029
4.57097,70975
4.5803,65349
4.58965,66865
4.59898,65047
4.60832,64947
4.61767,61489
4.627,59200
4.63633,59206
4.64568,63760
4.65502,72594
4.66435,77329
4.6737,75053
4.68303,70688
4.69238,70517
4.70172,76988
4.71105,83365
4.7204,80219
4.72973,70928
4.73907,65329
4.74842,69235
4.75775,71586
4.76708,68396
4.77643,66334
4.78577,68278
4.7951,63404
4.80445,64129
4.81378,62754
4.82312,63583
4.83247,63746
4.8418,68361
4.85113,65519
4.86048,72151
4.86982,74419
4.87917,94473
4.8885,108790
4.89783,106335
4.90718,94338
4.91652,82698
4.92585,76075
4.9352,69828
4.94453,66530
4.95387,65934
4.96322,63697
4.97255,61029
4.98188,59679
4.99123,57721
5.00057,60976
5.0099,64307
5.01925,66145
5.02858,69232
5.03792,68930
5.04727,69928
5.0566,69604
5.06595,63609
5.07528,64097
5.08462,65082
5.09397,70261
5.1033,68348
5.11263,64486
5.12198,62747
5.13132,61135
5.14065,62360
5.15,67438
5.15933,79925
5.16867,89634
5.17802,78301
5.18735,78286
5.19668,80757
5.20603,84002
5.21537,79336
5.2247,70523
5.23405,66573
5.24338,67844
5.25273,70696
5.26207,67591
5.2714,74432
5.28075,131024
5.29008,292012
5.29942,451380
5.30877,427529
5.3181,280817
5.32743,162372
5.33678,116536
5.34612,99339
5.35545,79218
5.3648,69485
5.37413,65293
5.38347,63957
5.39282,74419
5.40215,85801
5.4115,87581
5.42083,78492
5.43017,73086
5.43952,65637
5.44885,59898
5.45818,56044
5.46753,56502
5.47687,58416
5.4862,58140
5.49555,58251
5.50488,58301
5.51422,63738
5.52357,71033
5.5329,90646
5.54223,113201
5.55158,114754
5.56092,95199
5.57025,79740
5.5796,68900
5.58893,62966
5.59828,62073
5.60762,62191
5.61695,60368
5.6263,58143
5.63563,56276
5.64497,57460
5.65432,59869
5.66365,66076
5.67298,76484
5.68233,89164
5.69167,88233
5.701,75968
5.71035,70724
5.71968,72103
5.72902,70698
5.73837,67849
5.7477,73011
5.75703,92648
5.76638,104297
5.77572,116060
5.78507,110151
5.7944,86416
5.80373,70761
5.81308,61550
5.82242,59350
5.83175,73633
5.8411,93147
5.85043,94946
5.85977,83004
5.86912,70811
5.87845,66798
5.88778,57238
5.89713,52515
5.90647,54457
5.9158,75117
5.92515,127831
5.93448,190029
5.94382,181762
5.95317,144855
5.9625,122870
5.97185,106095
5.98118,83424
5.99052,68585
5.99987,61621
6.0092,55699
6.01853,50307
6.02788,47249
6.03722,44304
6.04655,40080
6.0559,39979
6.06523,38559
6.07457,42361
6.08392,42533
6.09325,37060
6.10258,35293
6.11193,36088
6.12127,37768
6.13062,40499
6.13995,46991
6.14928,46778
6.15863,42233
6.16797,34205
6.1773,33463
6.18665,33355
6.19598,33867
6.20532,32349
6.21467,32732
6.224,37696
6.23333,51593
6.24268,65007
6.25202,57732
6.26135,45876
6.2707,41633
6.28003,49107
6.28937,58597
6.29872,50968
6.30805,39697
6.3174,32089
6.32673,28144
6.33607,28261
6.34542,26910
6.35475,27938
6.36408,27991
6.37343,30522
6.38277,35914
6.3921,62396
6.40145,188391
6.41078,720730
6.42012,1688262
6.42947,1994967
6.4388,1275087
6.44813,506731
6.45748,160443
6.46682,67826
6.47615,49106
6.4855,40567
6.49483,36838
6.50418,33819
6.51352,31490
6.52285,33408
6.5322,33723
6.54153,31480
6.55087,30593
6.56022,29651
6.56955,30051
6.57888,30418
6.58823,31840
6.59757,35163
6.6069,39245
6.61625,40189
6.62558,38530
6.63492,37282
6.64427,37864
6.6536,39222
6.66293,40648
6.67228,42080
6.68162,38764
6.69097,35766
6.7003,43519
6.70963,52928
6.71898,50973
6.72832,45913
6.73765,38339
6.747,34002
6.75633,31339
6.76567,31460
6.77502,30824
6.78435,34608
6.79368,38550
6.80303,45304
6.81237,46932
6.8217,42689
6.83105,37172
6.84038,33947
6.84972,36520
6.85907,40475
6.8684,39124
6.87775,33940
6.88708,32526
6.89642,31743
6.90577,33038
6.9151,36050
6.92443,35277
6.93378,35182
6.94312,31728
6.95245,31795
6.9618,34663
6.97113,34824
6.98047,35873
6.98982,34997
6.99915,31831
7.00848,32354
7.01783,30168
7.02717,29995
7.03652,29003
7.04585,27207
7.05518,25903
7.06453,25123
7.07387,25759
7.0832,25890
7.09255,28380
7.10188,33124
7.11122,38228
7.12057,40499
7.1299,36233
7.13923,34919
7.14858,32517
7.15792,27671
7.16725,26126
7.1766,26867
7.18593,27507
7.19527,26832
7.20462,29038
7.21395,31101
7.2233,30995
7.23263,39864
7.24197,60008
7.25132,87926
7.26065,85535
7.26998,59695
7.27933,45645
7.28867,42334
7.298,40052
7.30735,38900
7.31668,37130
7.32602,39489
7.33537,35558
7.3447,33222
7.35403,29553
7.36338,27589
7.37272,28430
7.38205,26131
7.3914,32733
7.40073,55756
7.41008,100284
7.41942,146683
7.42875,143731
7.4381,103730
7.44743,67961
7.45677,40356
7.46612,32449
7.47545,29405
7.48478,32888
7.49413,36838
7.50347,36864
7.5128,33586
7.52215,27357
7.53148,26295
7.54082,26470
7.55017,28416
7.5595,27309
7.56883,30282
7.57818,33215
7.58752,35949
7.59687,38499
7.6062,39693
7.61553,42368
7.62488,41121
7.63422,40856
7.64355,36471
7.6529,35497
7.66223,31983
7.67157,33930
7.68092,37728
7.69025,36824
7.69958,36266
7.70893,34770
7.71827,37683
7.7276,37993
7.73695,35506
7.74628,36958
7.75563,45405
7.76497,51220
7.7743,45976
7.78365,41359
7.79298,39865
7.80232,39541
7.81167,35938
7.821,32812
7.83033,31265
7.83968,31091
7.84902,31493
7.85835,44779
7.8677,75891
7.87703,112394
7.88637,121493
7.89572,91910
7.90505,57308
7.91438,50409
7.92373,66805
7.93307,84494
7.94242,73906
7.95175,58111
7.96108,63920
7.97043,73814
7.97977,85695
7.9891,109441
7.99845,130317
8.00778,114696
8.01712,78549
8.02647,58184
8.0358,53221
8.04513,53556
8.05448,60177
8.06382,60189
8.07315,47807
8.0825,41825
8.09183,49698
8.10117,69423
8.11052,80274
8.11985,72004
8.1292,56423
8.13853,46963
8.14787,42537
8.15722,40417
8.16655,38526
8.17588,38714
8.18523,40598
8.19457,36560
8.2039,35996
8.21325,35447
8.22258,35375
8.23192,34262
8.24127,40320
8.2506,41762
8.25993,41574
8.26928,43313
8.27862,37424
8.28795,34381
8.2973,33471
8.30663,34555
8.31598,36629
8.32532,36886
8.33465,34741
8.344,36356
8.35333,34470
8.36267,33880
8.37202,31070
8.38135,35097
8.39068,43812
8.40003,48428
8.40937,46945
8.4187,48244
8.42805,46312
8.43738,45725
8.44672,44891
8.45607,41456
8.4654,39036
8.47473,39782
8.48408,40449
8.49342,39028
8.50277,36391
8.5121,35789
8.52143,35030
8.53078,35247
8.54012,35275
8.54945,37320
8.5588,38822
8.56813,48407
8.57747,52773
8.58682,50126
8.59615,47195
8.60548,42904
8.61483,46670
8.62417,41683
8.6335,41264
8.64285,38384
8.65218,35642
8.66152,35287
8.67087,36074
8.6802,39519
8.68955,38024
8.69888,37891
8.70822,38554
8.71757,39319
8.7269,34784
8.73623,33803
8.74558,38651
8.75492,52680
8.76425,66574
8.7736,63727
8.78293,48942
8.79227,40268
8.80162,43539
8.81095,49407
8.82028,59365
8.82963,60081
8.83897,48442
8.84832,38206
8.85765,37402
8.86698,40784
8.87633,44172
8.88567,49954
8.895,50949
8.90435,46367
8.91368,42755
8.92302,41930
8.93237,41724
8.9417,43206
8.95103,43199
8.96038,37963
8.96972,36914
8.97905,44707
8.9884,44783
8.99773,43843
9.00707,46034
9.01642,49737
9.02575,46315
9.0351,42158
9.04443,41561
9.05377,43009
9.06312,46383
9.07245,51158
9.08178,58475
9.09113,64813
9.10047,71418
9.1098,65033
9.11915,52378
9.12848,44281
9.13782,42313
9.14717,45510
9.1565,45923
9.16583,38446
9.17518,37518
9.18452,38904
9.19385,39083
9.2032,39189
9.21253,47187
9.22188,73860
9.23122,133711
9.24055,188980
9.2499,173803
9.25923,122994
9.26857,78631
9.27792,58162
9.28725,50408
9.29658,48723
9.30593,50585
9.31527,52016
9.3246,61472
9.33395,79370
9.34328,93700
9.35262,84556
9.36197,85573
9.3713,159350
9.38063,279392
9.38998,320336
9.39932,233789
9.40867,137555
9.418,83918
9.42733,67399
9.43668,65700
9.44602,58130
9.45535,49673
9.4647,42908
9.47403,40682
9.48337,38248
9.49272,39365
9.50205,47535
9.51138,50675
9.52073,49987
9.53007,48256
9.5394,50541
9.54875,51401
9.55808,62749
9.56743,86295
9.57677,106448
9.5861,96804
9.59545,73016
9.60478,69021
9.61412,75058
9.62347,69674
9.6328,58724
9.64213,54414
9.65148,49638
9.66082,45168
9.67015,44230
9.6795,45481
9.68883,44087
9.69817,43970
9.70752,40320
9.71685,40041
9.72618,59988
9.73553,198744
9.74487,601899
9.75422,1099669
9.76355,1072904
9.77288,634105
9.78223,295337
9.79157,158648
9.8009,112358
9.81025,89052
9.81958,79452
9.82892,80121
9.83827,102036
9.8476,126150
9.85693,146810
9.86628,132365
9.87562,101837
9.88495,89032
9.8943,111566
9.90363,131939
9.91297,160901
9.92232,234204
9.93165,301114
9.941,237423
9.95033,139052
9.95967,79356
9.96902,63675
9.97835,84284
9.98768,176328
9.99703,326182
10.00637,367378
10.0157,250343
10.02505,125580
10.03438,75254
10.04372,59286
10.05307,54235
10.0624,54953
10.07173,59348
10.08108,66666
10.09042,71804
10.09975,76072
10.1091,106245
10.11843,411729
10.12778,1633616
10.13712,3613720
10.14645,4050599
10.1558,2637184
10.16513,2432915
10.17447,3899861
10.18382,4055917
10.19315,2169425
10.20248,585987
10.21183,124610
10.22117,68139
10.2305,65642
10.23985,80955
10.24918,108106
10.25852,122140
10.26787,99491
10.2772,74278
10.28653,61109
10.29588,54610
10.30522,54351
10.31457,51871
10.3239,49531
10.33323,47693
10.34258,48294
10.35192,44932
10.36125,44891
10.3706,46482
10.37993,45570
10.38927,42092
10.39862,40206
10.40795,39681
10.41728,39966
10.42663,44363
10.43597,47918
10.4453,50570
10.45465,64314
10.46398,93692
10.47333,124256
10.48267,114108
10.492,77233
10.50135,52605
10.51068,41206
10.52002,40222
10.52937,39606
10.5387,38482
10.54803,39242
10.55738,42243
10.56672,44243
10.57605,46876
10.5854,47269
10.59473,48231
10.60407,50330
10.61342,47656
10.62275,42608
10.63208,48868
10.64143,59047
10.65077,66019
10.66012,53784
10.66945,44830
10.67878,42876
10.68813,45385
10.69747,49159
10.7068,47148
10.71615,45422
10.72548,54213
10.73482,56287
10.74417,48866
10.7535,49993
10.76283,66385
10.77218,98300
10.78152,114601
10.79085,95430
10.8002,83171
10.80953,95341
10.81887,113524
10.82822,98113
10.83755,69358
10.8469,52164
10.85623,43679
10.86557,42526
10.87492,44013
10.88425,54389
10.89358,62196
10.90293,60148
10.91227,55018
10.9216,47403
10.93095,48818
10.94028,53836
10.94962,53955
10.95897,48648
10.9683,45756
10.97763,42144
10.98698,42442
10.99632,40504
11.00565,45501
11.015,52187
11.02433,50015
11.03368,45606
11.04302,39267
11.05235,40040
